구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,6차 출발시간,6차 출발역,6차기운영,6차 도착시간,6차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간
휴평,73,,19:29,답십,5636,21:36,답십,22:15,답십,5174,23:21,방기,6:07,방기,1515,7:13,답십,,,,,,,,,,,,,,,,7:43,,11:20,4:20,4:00,0:00,0:00,1:30,1:30,7:14
휴평,74,,19:35,답십,5148,21:42,답십,7:30,고기,1040,7:35,상일,7:53,강동,5539,8:39,답십,,,,,,,,,,,,,,,,9:10,,10:08,3:18,4:00,0:50,0:00,1:30,0:30,3:02
휴평,75,,19:43,답십,5151,20:11,하풍,20:18,하풍,5160,21:53,방기,5:37,화곡,5513,7:25,답십,,,,,,,,,,,,,,,,7:55,,11:15,4:15,4:00,0:00,0:00,1:30,1:30,6:33
휴평,76,,20:11,답십,5154,22:18,답십,7:41,고기,1044,7:46,상일,8:03,강동,5543,8:51,답십,,,,,,,,,,,,,,,,9:22,,10:09,3:19,4:00,0:50,0:00,1:30,0:30,3:38
휴평,77,,20:25,답십,5653,22:35,방기,5:25,방기,1503,7:21,답십,,,,,,,,,,,,,,,,,,,,,7:51,,11:06,4:06,4:00,0:00,0:00,1:30,1:30,7:10
휴평,78,,21:40,답십,5658,22:46,방기,5:37,방기,1507,7:11,하풍,7:26,하풍,5038,7:55,답십,,,,,,,,,,,,,,,,8:26,,10:25,3:25,4:00,0:00,0:00,1:30,1:30,5:39
휴평,79,,21:19,답십,5167,21:47,하풍,21:59,하풍,5176,23:34,방기,5:31,방기,1505,7:40,답십,,,,,,,,,,,,,,,,8:11,,11:21,4:24,3:57,0:00,0:00,1:30,1:30,8:00
휴평,80,,21:31,답십,5169,21:59,하풍,22:12,하풍,5178,23:47,방기,5:43,방기,1509,7:52,답십,,,,,,,,,,,,,,,,8:23,,11:21,4:25,3:56,0:00,0:00,1:30,1:30,8:00
휴평,81,,21:36,답십,5665,23:41,방기,5:55,방기,1513,8:04,답십,,,,,,,,,,,,,,,,,,,,,8:34,,11:14,4:14,4:00,0:00,0:00,1:30,1:30,7:46
휴평,82,,21:43,답십,5171,22:11,하풍,22:24,하풍,5180,23:59,방기,6:13,방기,1517,7:18,답십,,,,,,,,,,,,,,,,7:49,,10:22,3:22,4:00,0:00,0:00,1:30,1:30,6:16
