구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간,,
평일,29,,8:33,영구,5038,9:04,방기,15:15,영구,5641,18:25,영구,,,,,,,,,,,,,,,,18:56,,10:30,3:40,4:00,0:50,0:00,0:30,1:30,0:00,,
평일,30,,8:55,영구,5046,10:59,하풍,11:12,하풍,5090,12:16,영구,17:15,영,5669,17:51,답,18:11,답,5646,18:46,영,,,,,,19:16,,9:33,4:33,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,31,,10:24,영구,5593,12:34,영구,15:03,영구,5639,17:46,방기,,,,,,,,,,,,,,,,19:27,,8:53,4:53,2:30,0:00,0:00,0:30,1:00,0:00,,
평일,32,,10:41,영구,5074,12:46,하풍,13:01,하풍,5108,14:05,영구,17:21,영구,5140,18:18,영구,19:14,영구,5654,20:13,영구,,,,,,20:43,,10:21,5:21,4:00,0:00,0:00,0:30,0:30,0:00,,
평일,33,,10:48,영구,5597,12:59,영구,16:19,영구,5130,17:57,답십,18:21,답십,5160,18:56,영구,,,,,,,,,,,18:46,,9:06,4:24,3:42,0:00,0:00,0:30,0:30,0:00,,
평일,34,,10:52,영구,5076,13:59,영구,17:31,영구,5143,18:36,하풍,18:48,하풍,5174,19:53,영구,,,,,,,,,,,20:23,,10:01,5:29,3:32,0:00,0:00,0:30,0:30,0:00,,
평일,35,,10:58,영구,5566,12:59,하풍,13:25,하풍,5112,14:29,영구,17:44,영구,5677,19:58,영구,,,,,,,,,,,20:28,,9:59,5:45,3:14,0:00,0:00,0:30,0:30,0:00,,
평일,36,,11:00,영구,5599,13:11,영구,16:21,영구,5131,17:25,하풍,17:31,하풍,5154,19:07,방기,,,,,,,,,,,20:07,,9:35,4:56,3:09,0:00,0:00,0:30,1:00,0:00,,
평일,37,,11:06,영구,5079,12:10,하풍,12:25,하풍,5102,13:29,영구,16:57,영구,5137,17:33,답십,18:07,답십,5156,19:14,방기,,,,,,20:14,,9:35,4:05,4:00,0:00,0:00,0:30,1:00,0:00,,
평일,38,,11:10,영구,5568,12:07,영구,12:47,영구,5584,13:44,영구,16:39,영구,5659,19:24,방기,,,,,,,,,,,20:24,,9:44,4:40,3:34,0:00,0:00,0:30,1:00,0:00,,
평일,39,,11:12,영구,5601,14:20,영구,17:51,영구,5679,18:27,답십,18:49,답십,5168,20:26,영구,,,,,,,,,,,20:57,,10:03,5:11,3:52,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
평일,40,,11:18,영구,5081,12:22,하풍,12:37,하풍,5104,14:38,영구,17:57,영구,5146,18:54,영구,,,,,,,,,,,19:24,,8:35,4:17,3:18,0:00,0:00,0:30,0:30,0:00,,
평일,41,,11:22,영구,5570,13:23,하풍,13:49,하풍,5116,14:53,영구,18:05,방기,1571,18:35,영구,,,,,,,,,,,19:29,,8:14,4:02,1:22,0:50,0:00,1:30,0:30,0:00,,
평일,42,,11:30,영구,5083,12:34,하풍,12:49,하풍,5106,13:53,영구,17:40,영구,5145,18:45,하풍,18:59,하풍,5176,20:03,영구,,,,,,20:34,,9:33,4:46,3:47,0:00,0:00,0:30,0:30,0:00,,
평일,43,,12:07,영구,5086,14:17,영구,18:05,영구,5683,20:18,영구,,,,,,,,,,,,,,,,20:49,,9:12,4:24,3:48,0:00,0:00,0:30,0:30,0:00,,
평일,44,,12:17,영구,5090,15:24,영구,18:02,영구,5636,18:59,영구,19:53,영구,5174,20:52,영구,,,,,,,,,,,21:22,,9:33,5:03,3:30,0:00,0:00,0:30,0:30,0:00,,
평일,45,,12:35,영구,5582,13:32,영구,13:53,영구,5106,14:50,영구,18:29,영구,5159,19:35,하풍,19:46,하풍,5184,20:50,영구,,,,,,21:21,,9:15,4:16,3:59,0:00,0:00,0:30,0:30,0:00,,
평일,46,,12:29,영구,5092,14:01,답십,17:37,고기,1064,17:42,상일,17:58,강동,5667,19:21,영구,,,,,,,,,,,19:51,,7:51,3:17,1:44,0:50,0:00,1:30,0:30,0:00,,
평일,47,,9:18,영구,5544,9:48,방기,13:44,영구,5105,16:51,영구,,,,,,,,,,,,,,,,17:21,,7:59,3:37,1:32,0:50,0:00,0:30,1:30,0:00,,
평일,48,,9:36,영구,5550,10:06,방기,14:56,영구,5117,16:00,하풍,16:17,하풍,5140,17:21,영구,,,,,,,,,,,17:51,,7:01,2:54,1:17,0:50,0:00,0:30,1:30,0:00,,
평일,49,,9:33,영구,5060,11:35,하풍,11:48,하풍,5096,12:52,영구,15:24,영구,5610,16:20,영구,,,,,,,,,,,17:45,,7:59,4:16,1:53,0:50,0:00,0:30,0:30,0:00,,
평일,50,,9:39,영구,5062,12:46,영구,16:32,영구,5132,17:31,영구,,,,,,,,,,,,,,,,18:01,,7:59,4:06,2:53,0:00,0:00,0:30,0:30,0:00,,
휴일,1,,7:22,영구,5020,9:23,하풍,9:30,하풍,5052,10:34,영구,14:01,영구,5593,16:16,영구,,,,,,,,,,,16:46,,9:47,5:20,3:27,0:00,0:00,0:30,0:30,0:00,,
휴일,2,,7:28,영구,5510,10:40,영구,13:55,영구,5093,14:59,하풍,15:06,하풍,5108,16:10,영구,,,,,,,,,,,16:40,,9:35,5:20,3:15,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,3,,7:37,영구,5529,9:52,영구,13:04,영구,5566,14:01,영구,14:16,영구,5578,15:13,영구,,,,,,,,,,,15:44,,8:21,3:55,3:26,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,4,,7:43,영구,5029,8:47,하풍,8:54,하풍,5046,9:58,영구,13:10,영구,5078,14:07,영구,14:34,영구,5092,15:31,영구,,,,,,16:02,,8:33,3:55,3:38,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,5,,7:46,영구,5024,9:47,하풍,9:54,하풍,5056,10:58,영구,14:43,영구,5101,15:47,하풍,15:54,하풍,5116,16:58,영구,,,,,,17:28,,10:05,5:19,3:46,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,6,,7:52,영구,5514,11:04,영구,14:49,영구,5601,17:04,영구,,,,,,,,,,,,,,,,7:34,,10:05,5:19,3:46,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,7,,7:58,영구,5026,9:59,하풍,10:06,하풍,5058,11:10,영구,14:55,영구,5103,15:59,하풍,16:06,하풍,5118,17:10,영구,,,,,,17:40,,10:05,5:20,3:45,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,8,,8:01,영구,5533,10:16,영구,13:46,영구,5084,14:43,영구,15:04,영구,5586,16:01,영구,,,,,,,,,,,16:31,,8:46,3:56,3:50,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,9,,8:07,영구,5035,9:11,하풍,9:18,하풍,5050,11:19,영구,15:10,영구,5098,16:07,영구,,,,,,,,,,,16:37,,8:52,4:02,3:50,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,10,,8:13,영구,5535,8:48,답십,10:47,답십,5060,12:19,영구,15:46,영구,5104,16:43,영구,16:58,영구,5516,17:55,영구,,,,,,18:25,,8:49,3:49,4:00,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,11,,8:31,영구,5039,9:35,하풍,9:42,하풍,5054,10:46,영구,13:28,영구,5570,16:40,영구,,,,,,,,,,,17:10,,9:03,5:21,2:42,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,12,,8:37,영구,5539,10:52,영구,14:07,영구,5095,15:11,하풍,15:18,하풍,5110,15:46,답십,17:05,답십,5612,17:40,영구,,,,,,18:10,,9:29,4:29,4:00,0:00,0:00,0:30,0:30,0:00,,
휴일,13,,9:16,영구,5528,12:28,영구,16:07,영구,5115,17:11,하풍,17:18,하풍,5130,18:22,영구,,,,,,,,,,,18:52,,9:58,5:19,3:39,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,14,,9:22,영구,5040,11:23,하풍,11:30,하풍,5072,12:34,영구,16:01,영구,5613,18:16,영구,,,,,,,,,,,18:46,,9:46,5:19,3:27,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,15,,9:34,영구,5042,11:35,하풍,11:42,하풍,5074,12:46,영구,15:49,영구,5611,18:04,영구,,,,,,,,,,,18:34,,9:21,5:19,3:02,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,16,,9:37,영구,5549,12:49,영구,15:58,영구,5106,16:55,영구,17:10,영구,5118,18:07,영구,,,,,,,,,,,18:38,,9:14,4:52,3:22,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,17,,9:52,영구,5534,13:04,영구,17:31,방기,1529,18:01,영구,,,,,,,,,,,,,,,,18:32,,9:02,3:35,2:37,0:50,0:00,1:30,0:30,0:00,,계 덧셈 이상
휴일,18,,9:58,영구,5046,11:59,하풍,12:06,하풍,5078,13:10,영구,17:49,방기,1531,18:19,영구,,,,,,,,,,,18:50,,9:14,3:35,2:49,0:50,0:00,1:30,0:30,0:00,,계 덧셈 이상
휴일,19,,16:16,영구,5538,11:13,영구,13:52,영구,5574,14:49,영구,15:07,영구,5105,16:11,하풍,16:18,하풍,5120,17:22,영구,,,,,,17:52,,7:51,3:55,2:56,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,20,,10:34,영구,5052,12:35,하풍,12:42,하풍,5084,13:46,영구,16:10,영구,5108,17:07,영구,,,,,,,,,,,17:38,,7:20,3:56,2:24,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,21,,10:40,영구,5542,13:52,영구,16:16,영구,5598,17:13,영구,17:40,영구,5612,18:37,영구,,,,,,,,,,,19:08,,8:36,4:46,2:50,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,22,,10:43,영구,5061,11:47,하풍,11:54,하풍,5076,13:55,영구,16:40,영구,5602,17:37,영구,,,,,,,,,,,18:08,,7:46,4:02,2:44,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,23,,10:46,영구,5054,11:43,영구,12:28,영구,5560,13:25,영구,15:31,영구,5109,16:35,하풍,16:42,하풍,5124,17:46,영구,,,,,,18:16,,7:45,3:55,2:50,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,24,,10:52,영구,5544,11:49,영구,12:34,영구,5072,13:31,영구,15:13,영구,5605,17:28,영구,,,,,,,,,,,17:58,,7:22,3:55,2:27,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,25,,10:58,영구,5056,12:59,하풍,13:06,하풍,5088,14:10,영구,16:43,영구,5123,17:47,하풍,17:54,하풍,5136,18:58,영구,,,,,,19:28,,8:53,5:20,2:33,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,26,,11:04,영구,5546,14:16,영구,16:55,영구,5125,17:59,하풍,18:06,하풍,5138,19:10,영구,,,,,,,,,,,19:40,,8:59,5:20,2:39,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,27,,11:10,영구,5058,12:07,영구,15:43,영구,5111,16:47,하풍,16:54,하풍,5126,17:58,영구,,,,,,,,,,,18:28,,7:41,3:05,3:36,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,28,,11:13,영구,5565,13:28,영구,17:07,영구,5127,18:11,하풍,18:18,하풍,5140,19:22,영구,,,,,,,,,,,19:52,,9:08,4:29,3:39,0:00,0:00,0:30,0:30,0:00,,
휴일,29,,11:43,영구,5071,12:47,하풍,12:54,하풍,5086,14:55,영구,17:04,영구,2606,17:35,방기,,,,,,,,,,,18:35,,7:19,3:41,2:08,0:00,0:00,0:30,1:00,0:00,,계 덧셈 이상
휴일,30,,11:46,영구,5064,13:47,하풍,14:06,하풍,5098,15:10,영구,17:46,영구,5124,18:43,영구,,,,,,,,,,,19:13,,7:44,4:08,2:36,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,31,,11:49,영구,5571,15:01,영구,17:22,영구,5120,17:53,방기,,,,,,,,,,,,,,,,18:53,,7:31,3:41,2:20,0:00,0:00,0:30,1:00,0:00,,계 덧셈 이상
휴일,32,,12:19,영구,5077,13:23,하풍,13:42,하풍,5094,15:43,영구,18:40,답십,5622,18:05,영구,,,,,,,,,,,19:10,,7:21,3:59,1:42,0:40,0:00,0:30,0:30,0:00,,
휴일,33,,12:37,영구,5579,15:49,영구,18:19,영구,5143,19:23,하풍,19:30,하풍,5152,20:34,영구,,,,,,,,,,,21:04,,8:56,5:26,2:30,0:00,0:00,0:30,0:30,0:00,,
휴일,34,,12:46,영구,5074,13:43,영구,14:10,영구,5088,15:07,영구,17:37,영구,5631,19:52,영구,,,,,,,,,,,20:22,,7:52,3:56,2:56,0:00,0:00,0:30,0:30,0:00,,계 덧셈 이상
휴일,35,,12:49,영구,5581,15:04,영구,18:01,영구,5635,20:16,영구,,,,,,,,,,,,,,,,20:46,,8:26,4:29,2:57,0:00,0:00,0:30,0:30,0:00,,
휴일,36,,13:31,영구,5089,14:35,하풍,14:54,하풍,5106,15:58,영구,18:37,영구,5641,20:52,영구,,,,,,,,,,,21:22,,8:20,4:41,2:39,0:00,0:00,0:30,0:30,0:00,,
휴일,37,,13:43,영구,5091,15:46,영구,18:43,영구,5147,19:47,하풍,19:54,하풍,5156,20:58,영구,,,,,,,,,,,21:28,,8:14,4:17,2:57,0:00,0:00,0:30,0:30,0:00,,
평평,61,,17:39,영구,5632,19:42,마천,20:11,상일,1055,20:16,고기,5:45,고기,1010,5:50,상일,6:06,강동,5507,7:33,영구,,,,,,8:04,,11:25,4:25,4:00,0:00,0:00,1:30,1:30,4:31,,
평평,62,,17:51,영구,5634,19:54,고기,5:27,고기,1006,5:32,상일,5:48,강동,5503,8:10,영구,,,,,,,,,,,8:41,,11:47,4:47,4:00,0:00,0:00,1:30,1:30,4:28,,
평평,63,,18:01,영구,5151,18:37,답십,19:55,답십,5171,20:24,하풍,20:38,하풍,5192,21:42,영구,7:27,방기,1535,7:58,영구,8:42,영구,5530,9:13,방기,10:13,,10:46,3:26,4:00,0:50,0:00,1:30,1:00,4:33,,
평평,64,,18:12,영구,5685,19:15,마천,19:45,상일,1049,19:50,고기,5:25,고기,1004,7:29,영구,,,,,,,,,,,8:00,,10:43,3:43,4:00,0:00,0:00,1:30,1:30,4:26,,
평평,65,,18:17,영구,5150,20:16,마천,20:45,상일,1057,20:50,고기,5:49,고기,1012,7:49,영구,,,,,,,,,,,8:20,,11:33,4:33,4:00,0:00,0:00,1:30,1:30,5:01,,
평평,66,,18:19,영구,5687,21:32,영구,7:06,방기,1529,7:37,영구,7:50,영구,5026,8:47,영구,,,,,,,,,,,9:18,,11:33,4:43,4:00,0:50,0:00,1:30,0:30,4:22,,
평평,67,,18:22,영구,5157,19:28,하풍,19:40,상일,1047,19:48,고기,5:19,고기,1002,5:24,상일,5:32,강동,5010,7:17,영구,,,,,,7:48,,10:24,3:24,4:00,0:00,0:00,1:30,1:30,4:29,,
평평,68,,18:26,영구,5689,19:29,마천,19:59,상일,1053,20:04,고기,5:32,고기,1008,5:37,상일,5:58,강동,5505,7:21,영구,,,,,,7:52,,10:28,3:28,4:00,0:00,0:00,1:30,1:30,5:24,,
평평,69,,18:47,영구,5646,20:47,하풍,21:05,하풍,5196,22:09,영구,7:46,방기,1543,8:17,영구,8:57,영구,5536,9:28,방기,,,,,,10:28,,11:44,4:24,4:00,0:50,0:00,1:30,1:00,4:59,,
평평,70,,18:46,영구,5695,20:57,영구,16:43,방기,1523,8:18,하풍,8:26,하풍,5060,9:32,영구,,,,,,,,,,,10:02,,11:50,5:00,4:00,0:50,0:00,1:30,0:30,3:14,,
평평,71,,18:54,영구,5697,22:08,영구,7:30,방기,1537,8:01,영구,8:47,영구,5532,9:18,방기,,,,,,,,,,,10:18,,11:35,4:15,4:00,0:50,0:00,1:30,1:00,4:59,,
평평,72,,18:57,영구,5160,20:59,하풍,21:13,상일,1059,21:20,고기,6:03,고기,1016,6:08,상일,6:26,강동,5511,7:53,영구,,,,,,8:23,,11:14,4:14,4:00,0:00,0:00,1:30,1:30,5:17,,
평평,73,,18:59,영구,5167,20:04,하풍,20:12,하풍,5188,21:16,영구,16:51,방기,1525,8:27,하풍,8:33,하풍,5062,9:39,영구,,,,,,10:09,,11:55,5:05,4:00,0:50,0:00,1:30,0:30,4:15,,
평평,74,,19:07,영구,5652,20:07,영구,20:57,영구,5674,22:58,하풍,23:11,상일,1061,23:19,고기,6:13,고기,1018,7:15,영구,,,,,,7:45,,11:23,4:23,4:00,0:00,0:00,1:30,1:30,7:07,,
평평,75,,19:21,영구,5656,21:24,하풍,21:33,하풍,5200,22:37,영구,7:41,방기,1547,8:12,영구,8:52,영구,5534,9:23,방기,,,,,,10:23,,11:37,4:17,4:00,0:50,0:00,1:30,1:00,5:27,,
